id,pixel_x,pixel_y,x_cm,y_cm,z_cm,area_px,bbox_x,bbox_y,bbox_w,bbox_h
1,82,219,6.411258697509766,18.27538299560547,,1497.0,41,193,76,54
2,675,359,52.775604248046875,29.958274841308594,,609725.5,107,27,1032,666
